codigo,nombre,letra,clasificacion_interna,es_electronico,es_mipyme_fce,es_exportacion
190,LIQUIDACIÓN DE VENTA DIRECTA A - SECTOR PECUARIO,A,factura,True,False,False
191,LIQUIDACIÓN DE VENTA DIRECTA B - SECTOR PECUARIO,B,factura,True,False,False
195,FACTURA CLASE “T”,T,factura,True,False,False
196,NOTA DE DÉBITO CLASE “T”,T,factura,True,False,False
197,NOTA DE CRÉDITO CLASE “T”,T,factura,True,False,False
201,FACTURA DE CRÉDITO ELECTRÓNICA MIPYMES (FCE) A,A,factura,True,True,False
202,NOTA DE DÉBITO ELECTRÓNICA MIPYMES (FCE) A,A,factura,True,True,False
203,NOTA DE CRÉDITO ELECTRÓNICA MIPYMES (FCE) A,A,factura,True,True,False
206,FACTURA DE CRÉDITO ELECTRÓNICA MIPYMES (FCE) B,B,factura,True,True,False
207,NOTA DE DÉBITO ELECTRÓNICA MIPYMES (FCE) B,B,factura,True,True,False
208,NOTA DE CRÉDITO ELECTRÓNICA MIPYMES (FCE) B,B,factura,True,True,False
211,FACTURA DE CRÉDITO ELECTRÓNICA MIPYMES (FCE) C,C,factura,True,True,False
212,NOTA DE DÉBITO ELECTRÓNICA MIPYMES (FCE) C,C,factura,True,True,False
213,NOTA DE CRÉDITO ELECTRÓNICA MIPYMES (FCE) C,C,factura,True,True,False
331,LIQUIDACION SECUNDARIA DE GRANOS,X,factura,True,False,False
332,CERTIFICACION ELECTRONICA (GRANOS),X,factura,True,False,False
